code,title,page_reference,source_page,company
G1-10,Anti-financial crime,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
GOV-1,"The role of the administrative, management, and supervisory bodies",p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
GOV-2,"Information provided to, and sustainability matters addressed by, the undertaking’s administrative, management, and supervisory bodies",p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
GOV-3,Integration of sustainability-related performance in incentive schemes,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
GOV-4,Statement on due diligence,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
GOV-5,Risk management and internal controls over sustainability reporting,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,General policies related to our own workforce,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,DEI Sustainability Statement - DEI Policy,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Business conduct Sustainability Statement - ‘Respect for human rights’,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,DEI Sustainability Statement - ‘Our approach to prevention of discrimination and channels to raise concerns’,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Company culture Sustainability Statement - ‘Adyen Formula’,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Company culture Sustainability Statement - ‘Normal Course of Life’,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Company culture Sustainability Statement - ‘Remuneration Policy’,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Learning & development Sustainability Statement - ‘Our policy and approach’,p. 112,112,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-1,Transition plan to reach climate neutrality by 2050,p. 118,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-1,Undertakings excluded from Paris-aligned benchmarks,p. 117,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-4,GHG emission reduction targets,p. 119,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-5,Energy consumption and mix,p. 121,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-6,"Gross Scope 1, 2, 3 and Total GHG emissions",p. 122,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-6,Gross GHG emissions intensity,p. 122,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-7,GHG removals and carbon credits,p. 124,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-16,Unadjusted gender pay gap,p. 144,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-4,Fines for violation of anti-corruption and anti-bribery laws,p. 158,115,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,The Adyen Formula,p. 135,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-2,Workforce engagement: Culture & Inclusion survey,p. 136,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-4,Actions,p. 137,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-10,Remuneration Policy,p. 136,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-15,Normal Course of Life,p. 136,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-16,Remuneration metrics,p. 136,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,DEI Policy,p. 139,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-2,Engaging our employees in our DEI approach,p. 140,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-3,Our approach to prevention of discrimination and channels to raise concerns,p. 139,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-4,Actions,p. 141,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-5,Targets,p. 142,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-9,Diversity metrics within our workforce,p. 145,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,L&D approach,p. 147,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-2,Stakeholder consideration and engagement,p. 147,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-4,Actions,p. 148,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-13,L&D metrics,p. 149,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Respect for human rights,p. 160,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-3,Processes to remediate negative impacts for culture (protection of whistleblowers),p. 159,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-17,Reporting inappropriate behaviors,p. 160,132,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-1,Business conduct,p. 135,135,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Normal Course of Life policy and remuneration approach,p. 135,135,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-10,Remuneration approach,p. 135,135,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-16,Policy on employee growth and autonomy,p. 135,135,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-1,Climate change mitigation policy,p. 40,3,PhilipsFullAnnualReport2024-English
S2-1,Labor/Management Relations,p. 46,3,PhilipsFullAnnualReport2024-English
G1-1,Board of Directors Structure,p. 48,3,PhilipsFullAnnualReport2024-English
E1,Climate change,p. 38,38,PhilipsFullAnnualReport2024-English
S1,Own workforce,p. 38,38,PhilipsFullAnnualReport2024-English
S2,Workers in the value chain,p. 38,38,PhilipsFullAnnualReport2024-English
S4,Consumers and end-users,p. 38,38,PhilipsFullAnnualReport2024-English
G1,Business conduct,p. 38,38,PhilipsFullAnnualReport2024-English
E1-1,Climate change,p. 183,165,PhilipsFullAnnualReport2024-English
E2-1,Resource use and circular economy,p. 196,165,PhilipsFullAnnualReport2024-English
S4-7,Advocacy activities and expenses,p. 238,165,PhilipsFullAnnualReport2024-English
E1,Climate change,p. 166,166,PhilipsFullAnnualReport2024-English
E1-1,We will maintain carbon neutrality and use 75% renewable energy in our operations by 2025,p. 166,166,PhilipsFullAnnualReport2024-English
E1-2,"We will design all new product introductions in line with our EcoDesign requirements by 2025, with ‘EcoHeroes’ accounting for 25% of hardware revenues",p. 166,166,PhilipsFullAnnualReport2024-English
E5-4,"We will generate 25% of our revenue from products, services and solutions contributing to circularity, and offer responsible take-back on all professional medical equipment by 2025",p. 166,166,PhilipsFullAnnualReport2024-English
E5-6,We will embed circular practices at our sites and put zero waste to landfill by 2025,p. 166,166,PhilipsFullAnnualReport2024-English
G1,"Delivering superior long-term value, ethics, and governance standards",p. 168,168,PhilipsFullAnnualReport2024-English
G1,General Business Principles for business conduct,p. 168,168,PhilipsFullAnnualReport2024-English
G1,"Transparent communication about plans, activities, results, and contributions to society",p. 168,168,PhilipsFullAnnualReport2024-English
E1-1,Climate change mitigation policy,p. 45,169,PhilipsFullAnnualReport2024-English
E5-7,Scope 3 carbon emissions calculations,,169,PhilipsFullAnnualReport2024-English
ESRS 2 GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 GOV-3,Integration of sustainability-related performance in incentive schemes,p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 GOV-2,"Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 SBM-2,Interests and views of stakeholders,p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 MDR-P,Policies adopted to manage material sustainability matters,p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 MDR-A,Actions and resources in relation to material sustainability matters,p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 MDR-M,Metrics in relation to material sustainability matters,p. 170,170,PhilipsFullAnnualReport2024-English
ESRS 2 MDR-T,Tracking effectiveness of policies and actions through targets,p. 170,170,PhilipsFullAnnualReport2024-English
S4-7,Engagement with stakeholders,p. 45,171,PhilipsFullAnnualReport2024-English
S4-7,Stakeholder engagement,p. 45,171,PhilipsFullAnnualReport2024-English
G1-1,Governance structures,p. 45,171,PhilipsFullAnnualReport2024-English
S4-7,Engagement with stakeholders,p. 45,171,PhilipsFullAnnualReport2024-English
G2-10,Composition of the highest governance body,p. 45,171,PhilipsFullAnnualReport2024-English
S1-10,Adequate Wage,p. 222,222,PhilipsFullAnnualReport2024-English
S1-10,Adequate Wage,p. 222,222,PhilipsFullAnnualReport2024-English
GOV-1,"ESG governance: Supervisory Board report composition, diversity and self-evaluation",p. 40,243,PhilipsFullAnnualReport2024-English
GOV-2,"ESG governance: Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies",p. 40,243,PhilipsFullAnnualReport2024-English
GOV-3,Remuneration Report: Integration of sustainability-related performance in incentive schemes,p. 76,243,PhilipsFullAnnualReport2024-English
GOV-4,"SFDR ESG governance, strategy and policies: Statement on due diligence",p. 170,243,PhilipsFullAnnualReport2024-English
GOV-5,"Environmental, Social and Governance: Risk management and internal controls over sustainability reporting",p. 40,243,PhilipsFullAnnualReport2024-English
SBM-1,"Governance: Strategy, business model and value chain",p. 54,243,PhilipsFullAnnualReport2024-English
SBM-2,Governance: Interests and views of stakeholders,p. 54,243,PhilipsFullAnnualReport2024-English
IRO-1,"Sustainability statement: Description of the processes to identify and assess material impacts, risks, and opportunities",p. 171,243,PhilipsFullAnnualReport2024-English
IRO-2,Sustainability statement: Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,p. 171,243,PhilipsFullAnnualReport2024-English
MDR-P,"ESG governance, strategy, and policies: Policies adopted to manage material sustainability matters",p. 171,243,PhilipsFullAnnualReport2024-English
MDR-A,"ESG governance, strategy, and policies: Actions and resources in relation to material sustainability matters",p. 171,243,PhilipsFullAnnualReport2024-English
MDR-M,Sustainability statement: Metrics in relation to material sustainability matters,p. 166,243,PhilipsFullAnnualReport2024-English
MDR-T,Sustainability statement: Tracking effectiveness of policies and actions through targets,p. 166,243,PhilipsFullAnnualReport2024-English
E1-1,Transition plan for climate change mitigation,p. 189,244,PhilipsFullAnnualReport2024-English
E1-2,Policies related to climate change mitigation and adaptation,p. 180,244,PhilipsFullAnnualReport2024-English
E1-3,Actions and resources in relation to climate change policies,p. 184,244,PhilipsFullAnnualReport2024-English
E1-4,Targets related to climate change mitigation and adaptation,p. 183,244,PhilipsFullAnnualReport2024-English
E1-5,Energy consumption and mix,p. 184,244,PhilipsFullAnnualReport2024-English
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",p. 185,244,PhilipsFullAnnualReport2024-English
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,p. 187,244,PhilipsFullAnnualReport2024-English
E1-8,Internal carbon pricing,p. 188,244,PhilipsFullAnnualReport2024-English
E1-9,Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,P3/BRR,244,PhilipsFullAnnualReport2024-English
E5-1,Policies related to resource use and circular economy,p. 180,244,PhilipsFullAnnualReport2024-English
E5-2,Actions and resources related to resource use and circular economy,p. 198,244,PhilipsFullAnnualReport2024-English
E5-3,Targets related to resource use and circular economy,p. 196,244,PhilipsFullAnnualReport2024-English
E5-4,Resource inflows,p. 196,244,PhilipsFullAnnualReport2024-English
E5-5,Resource outflows,p. 196,244,PhilipsFullAnnualReport2024-English
E5-6,"Anticipated financial effects from resource use and circular economy-related impacts, risks and opportunities","1,2,3",244,PhilipsFullAnnualReport2024-English
S1-1,Policies related to own workforce,p. 180,245,PhilipsFullAnnualReport2024-English
S1-2,Processes for engaging with own workers and workers’ representatives about impacts,p. 180,245,PhilipsFullAnnualReport2024-English
S1-3,Processes to remediate negative impacts and channels for own workers to raise concerns channels for own workers to raise concerns,p. 237,245,PhilipsFullAnnualReport2024-English
S1-4,"Taking action on material impacts on own workforce, and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and effectiveness of those actions",p. 237,245,PhilipsFullAnnualReport2024-English
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",p. 166,245,PhilipsFullAnnualReport2024-English
S1-6,Characteristics of the undertaking’s employees,p. 225,245,PhilipsFullAnnualReport2024-English
S1-7,Characteristics of non-employee workers in the undertaking’s own workforce,p. 225,245,PhilipsFullAnnualReport2024-English
S1-8,Collective bargaining coverage and social dialogue,p. 227,245,PhilipsFullAnnualReport2024-English
S1-9,Diversity metrics,p. 218,245,PhilipsFullAnnualReport2024-English
S1-10,Adequate wages,p. 222,245,PhilipsFullAnnualReport2024-English
S1-11,Social protection,p. 227,245,PhilipsFullAnnualReport2024-English
S1-12,Persons with disabilities,p. 218,245,PhilipsFullAnnualReport2024-English
S1-13,Training and skills development metrics,p. 217,245,PhilipsFullAnnualReport2024-English
S1-14,Health and safety metrics,p. 223,245,PhilipsFullAnnualReport2024-English
S1-15,Work-life balance metrics,p. 220,245,PhilipsFullAnnualReport2024-English
S1-16,Compensation metrics (pay gap and total compensation),p. 221,245,PhilipsFullAnnualReport2024-English
S1-17,"Incidents, complaints and severe human rights impacts",p. 237,245,PhilipsFullAnnualReport2024-English
S2-1,Policies related to value chain workers,p. 180,246,PhilipsFullAnnualReport2024-English
S2-2,Processes for engaging with value chain workers about impacts,p. 234,246,PhilipsFullAnnualReport2024-English
S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,"p. 230, p. 234",246,PhilipsFullAnnualReport2024-English
S2-4,"Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",p. 228,246,PhilipsFullAnnualReport2024-English
S2-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities","p. 166, p. 231",246,PhilipsFullAnnualReport2024-English
S4-1,Policies related to consumers and end-users,p. 51,247,PhilipsFullAnnualReport2024-English
S4-2,Processes for engaging with consumers and end-users about impacts,p. 51,247,PhilipsFullAnnualReport2024-English
S4-3,Processes to remediate negative impacts and channels for consumers and end-users to raise concerns,p. 51,247,PhilipsFullAnnualReport2024-English
S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing material risks and pursuing material opportunities related to consumers and end-users, and effectiveness of those actions",p. 51,247,PhilipsFullAnnualReport2024-English
S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",p. 51,247,PhilipsFullAnnualReport2024-English
G1-1,Corporate culture and Business conduct policies and corporate culture,p. 51,247,PhilipsFullAnnualReport2024-English
G1-2,Management of relationships with suppliers,p. 51,247,PhilipsFullAnnualReport2024-English
G1-3,Prevention and detection of corruption and bribery,p. 51,247,PhilipsFullAnnualReport2024-English
G1-4,Confirmed incidents of corruption or bribery,p. 51,247,PhilipsFullAnnualReport2024-English
G1-5,Political influence and lobbying activities,p. 241,247,PhilipsFullAnnualReport2024-English
E1-1,Entity specific Green/EcoDesigned Innovation (NPI),p. 40,248,PhilipsFullAnnualReport2024-English
E1-2,Entity specific Green/EcoDesigned Innovation (spend),p. 44,248,PhilipsFullAnnualReport2024-English
E1-3,Entity specific EcoHero Revenue,p. 202,248,PhilipsFullAnnualReport2024-English
E1-4,Entity specific Circular Revenue,p. 198,248,PhilipsFullAnnualReport2024-English
E1-5,Entity specific Circular Materials Management,p. 43,248,PhilipsFullAnnualReport2024-English
E1-6,Entity specific Closing the Loop,p. 43,248,PhilipsFullAnnualReport2024-English
E1-7,Entity specific Zero Waste to Landfill,p. 43,248,PhilipsFullAnnualReport2024-English
S1-6,Entity specific Women in leadership positions,p. 47,248,PhilipsFullAnnualReport2024-English
S4-1,Entity specific Employee Engagement Index,p. 46,248,PhilipsFullAnnualReport2024-English
S1-1,Equal opportunities and equal pay,,249,PhilipsFullAnnualReport2024-English
S1-2,Living Wage and Adequate Wage,,249,PhilipsFullAnnualReport2024-English
S1-3,Philips living and adequate wage methodology,p. 221-222,249,PhilipsFullAnnualReport2024-English
S1-4,Human rights impact assessments,,249,PhilipsFullAnnualReport2024-English
S1-5,Supplier Sustainability & Workers in the value chain: Governance and Grievance mechanisms,,249,PhilipsFullAnnualReport2024-English
S1-6,Human rights,p. 234-235,249,PhilipsFullAnnualReport2024-English
S1-7,Supplier Sustainability & Workers in the value chain,p. 228,249,PhilipsFullAnnualReport2024-English
S1-8,Improving people's lives,,249,PhilipsFullAnnualReport2024-English
S1-9,Lives Improved,p. 236,249,PhilipsFullAnnualReport2024-English
S1-10,Product responsibility and safety,p. 235-236,249,PhilipsFullAnnualReport2024-English
G1-8,Cybersecurity,,249,PhilipsFullAnnualReport2024-English
G1-9,General Business Principles (GBP),,249,PhilipsFullAnnualReport2024-English
G1-10,Tax contribution,p. 53,249,PhilipsFullAnnualReport2024-English
E3-1,Sustainability statement,p. 251,251,PhilipsFullAnnualReport2024-English
E4-1,"Environmental, Social and Governance",p. 251,251,PhilipsFullAnnualReport2024-English
S1-6,contingent worker (type of workers),p. 261,261,PhilipsFullAnnualReport2024-English
S1-6,"employees per segment, employment by consolidation changes, employees per geographic areas in FTE",p. 261,261,PhilipsFullAnnualReport2024-English
S1-16,pay gap,p. 261,261,PhilipsFullAnnualReport2024-English
E1-1,Climate change mitigation policy,p. 262,262,PhilipsFullAnnualReport2024-English
